date,open,high,low,close
04-01-2022 09:15,17681.4,17681.5,17647.6,17668.4 
04-01-2022 09:16,17669.1,17694.9,17668.6,17693.8 
04-01-2022 09:17,17694.8,17707.3,17694.8,17702.5 
04-01-2022 09:18,17703.5,17703.5,17690.1,17692.6 
04-01-2022 09:19,17690.7,17693.2,17677.1,17681.2 
04-01-2022 09:20,17681.7,17682.2,17659.1,17664.9 
04-01-2022 09:21,17667.6,17702.5,17665.6,17699.2
04-01-2022 09:22,17700.8,17702.5,17689.8,17700.3
04-01-2022 09:23,17701.3,17715.3,17701.3,17714.2
04-01-2022 09:24,17714.9,17715.4,17705.1,17708.5
04-01-2022 09:25,17709.1,17709.1,17698.7,17700
04-01-2022 09:26,17701.2,17709.9,17698.9,17707.6
04-01-2022 09:27,17706.6,17707.7,17701.2,17702.6
04-01-2022 09:28,17702.2,17708.2,17702,17704.3
04-01-2022 09:29,17703.5,17704.4,17691,17691
04-01-2022 09:30,17691,17694.8,17681.6,17681.6
04-01-2022 09:31,17681.4,17681.4,17671.8,17671.8
04-01-2022 09:32,17672.8,17684.4,17671,17684.4
04-01-2022 09:33,17684.2,17688.7,17682.2,17688
04-01-2022 09:34,17687.8,17687.8,17671.2,17671.2
04-01-2022 09:35,17671.9,17672.8,17664.2,17669.2
04-01-2022 09:36,17669.8,17670.2,17659.4,17661.7
04-01-2022 09:37,17660.3,17660.3,17639.2,17644.1
04-01-2022 09:38,17644.4,17644.4,17623.2,17623.3
04-01-2022 09:39,17623.7,17626.2,17610.7,17617.1
04-01-2022 09:40,17617,17618.4,17602.1,17602.9
04-01-2022 09:41,17603.5,17604.4,17594.9,17598.2
04-01-2022 09:42,17596.6,17628.4,17593.6,17628.4
04-01-2022 09:43,17629.7,17651.2,17628.2,17647.2
04-01-2022 09:44,17646.7,17657.7,17646.7,17657.4
04-01-2022 09:45,17657.8,17675.8,17657.8,17669.6
04-01-2022 09:46,17669.1,17671.6,17657.7,17664.1
04-01-2022 09:47,17662.8,17665.9,17655,17662.2
04-01-2022 09:48,17661.9,17670.6,17661.7,17668.9
04-01-2022 09:49,17669.6,17677.7,17668.1,17675.6
04-01-2022 09:50,17676.3,17679.9,17670.1,17673.3
04-01-2022 09:51,17673.1,17676.7,17672.2,17676.7
04-01-2022 09:52,17677.1,17682.6,17677.1,17682.6
04-01-2022 09:53,17681.7,17682.1,17671.8,17673.8
04-01-2022 09:54,17673.8,17682.4,17673.8,17681.4
04-01-2022 09:55,17681.1,17684.3,17677.1,17684.2
04-01-2022 09:56,17683.9,17684.9,17679.6,17684.9
04-01-2022 09:57,17684.5,17693.7,17681.8,17692.9
04-01-2022 09:58,17694,17695.3,17691.1,17695.3
04-01-2022 09:59,17696.4,17701,17692.7,17699.9
04-01-2022 10:00,17699.7,17701.9,17696.7,17699.4
04-01-2022 10:01,17699.6,17702.6,17699.1,17700.9
04-01-2022 10:02,17701.6,17702.2,17696.4,17700.2
04-01-2022 10:03,17701.3,17701.5,17692.9,17693.1
04-01-2022 10:04,17692.4,17697.7,17689.7,17697.7
04-01-2022 10:05,17697.4,17699.8,17695.6,17695.6
04-01-2022 10:06,17696.6,17698.5,17696.1,17697.6
04-01-2022 10:07,17697.3,17706.3,17696.9,17705.4
04-01-2022 10:08,17705.5,17710.2,17705.5,17707.4
04-01-2022 10:09,17707.8,17714.5,17707.8,17713.1
04-01-2022 10:10,17714,17718.1,17712.2,17712.4
04-01-2022 10:11,17713.4,17719.5,17713.3,17718.5
04-01-2022 10:12,17717.9,17720.1,17716.8,17718.3
04-01-2022 10:13,17718.3,17719.2,17714.3,17715.2
04-01-2022 10:14,17715.6,17723.1,17714.6,17721.7
04-01-2022 10:15,17722.4,17725.9,17722.4,17723.8
04-01-2022 10:16,17724.3,17729.1,17724.3,17728.7
04-01-2022 10:17,17728.8,17729.4,17726.4,17727.7
04-01-2022 10:18,17727.2,17731.2,17726.1,17729.8
04-01-2022 10:19,17730.2,17733.7,17729.6,17731.5
04-01-2022 10:20,17731.4,17731.4,17711.9,17718.6
04-01-2022 10:21,17718.8,17718.8,17702.2,17704.8
04-01-2022 10:22,17705,17714.6,17699.2,17714.1
04-01-2022 10:23,17714.1,17715.8,17705.8,17706.7
04-01-2022 10:24,17706.8,17710.8,17703.8,17708.4
04-01-2022 10:25,17708.3,17708.8,17700.7,17703.4
04-01-2022 10:26,17703.1,17705.6,17699.2,17701.4
04-01-2022 10:27,17701.5,17714.9,17701.5,17710.2
04-01-2022 10:28,17710.8,17712.4,17706.7,17709.2
04-01-2022 10:29,17708.8,17712.6,17708.7,17711.8
04-01-2022 10:30,17711.8,17718.2,17710.6,17716
04-01-2022 10:31,17714.8,17718.4,17713.3,17717.2
04-01-2022 10:32,17717.1,17718.5,17714.9,17715.9
04-01-2022 10:33,17716.2,17719.4,17715.1,17719.4
04-01-2022 10:34,17717.9,17723.2,17715.8,17721.1
04-01-2022 10:35,17721.4,17726.1,17721.4,17723.4
04-01-2022 10:36,17723.9,17723.9,17716.3,17717.1
04-01-2022 10:37,17716,17717.8,17713.2,17714.3
04-01-2022 10:38,17714.1,17717.1,17712.2,17714.7
04-01-2022 10:39,17715.4,17719.6,17712.2,17713.4
04-01-2022 10:40,17713.2,17714.3,17706.9,17709.3
04-01-2022 10:41,17710.8,17713.8,17708.3,17709.2
04-01-2022 10:42,17709.2,17711.7,17706.3,17707
04-01-2022 10:43,17707.2,17707.2,17702.7,17703.5
04-01-2022 10:44,17703.4,17703.4,17693.8,17695.8
04-01-2022 10:45,17695.7,17697.6,17689.2,17697.2
04-01-2022 10:46,17696.1,17697.6,17689.6,17690.2
04-01-2022 10:47,17689.6,17692.2,17682,17685.8
04-01-2022 10:48,17686.2,17692.8,17686.2,17689.2
04-01-2022 10:49,17689,17690.2,17685.6,17686.7
04-01-2022 10:50,17686.7,17692.8,17684.7,17690.4
04-01-2022 10:51,17690.2,17704.1,17689.2,17701.2
04-01-2022 10:52,17701.8,17712.8,17701.2,17711.7
